Protein families,count
Gamma-glutamylcyclotransferase family,24
DAN family,24
CAMP-dependent kinase regulatory chain family,24
ERD2 family,24
RRM elav family,24
Universal ribosomal protein uL18 family,24
Universal ribosomal protein uL10 family,24
Citrate synthase family,24
Eukaryotic initiation factor 4E family,24
Carotenoid oxygenase family,23
Fic family,23
SPATA31 family,23
Venom protein 11 family,23
EIF-3 subunit B family,23
Multicopper oxidase family,23
Chorion protein family,23
Janus family,23
TM2 family,23
Motilin family,23
Polycystin family,23
ARS2 family,23
WD repeat RBAP46/RBAP48/MSI1 family,23
Peroxiredoxin-like PRXL2 family,23
NCBP1 family,23
PNMA family,23
Glycosyltransferase 47 family,23
SGF11 family,23
FAST kinase family,23
Glypican family,23
Anoctamin family,23
FAM90 family,23
DOCK family,23
Maelstrom family,23
Troponin T family,23
Phosducin family,23
Transferase hexapeptide repeat family,23
U1 small nuclear ribonucleoprotein C family,23
Dynein light chain Tctex-type family,23
WD repeat Groucho/TLE family,23
DNase I family,23
'GDSL' lipolytic enzyme family,23
Leptin family,23
Cytochrome c oxidase subunit 5A family,23
FBXO45/Fsn family,23
Sulfotransferase 2 family,23
Grh/CP2 family,23
SecY/SEC61-alpha family,23
SCAMP family,23
Parathyroid hormone family,23
Universal ribosomal protein uL16 family,23
URM1 family,22
Gfo/Idh/MocA family,22
Fibril-associated collagens with interrupted helices (FACIT) family,22
IL-15/IL-21 family,22
PNP/MTAP phosphorylase family,22
SHOC2 family,22
WD repeat PROPPIN family,22
HesA/MoeB/ThiF family,22
Tropomodulin family,22
MINDY deubiquitinase family,22
Alpha-actinin family,22
Casein kinase 2 subunit beta family,22
Uridine kinase family,22
Universal ribosomal protein uS14 family,22
SPC25 family,22
CDC42SE/SPEC family,22
JHDM1 histone demethylase family,22
TtcA family,22
MoaE family,22
Hemerythrin family,22
Phosphoglycerate kinase family,22
DDRGK1 family,22
LHFP family,22
EMX homeobox family,22
Ikaros C2H2-type zinc-finger protein family,22
Cornichon family,22
HSF family,22
ELL/occludin family,22
Rab GDI family,22
Penaeidin family,22
PtdIns transfer protein family,22
Alpha-ketoglutarate dehydrogenase family,22
5'(3')-deoxyribonucleotidase family,22
Glycerophosphoryl diester phosphodiesterase family,22
Universal ribosomal protein uS12 family,22
CUT homeobox family,22
Eukaryotic release factor 1 family,22
RNase PH family,22
NPC2 family,21
DNA polymerase type-X family,21
Myelin P0 protein family,21
Engrailed homeobox family,21
Glutamine synthetase family,21
Lyase 1 family,21
DPH1/DPH2 family,21
ADP-ribosylglycohydrolase family,21
SH3BGR family,21
Perilipin family,21
BTG family,21
DAMOX/DASOX family,21
NudE family,21
Acylphosphatase family,21
Protamine P2 family,21
WD repeat TRM82 family,21
